호선,역번호,역      명,계,일평균,1월,2월,3월,4월,5월,6월,7월,,
1,150,서울역(1),12117500,57323,1743865,1562398,1775452,1782515,1822907,1688385,1741978,,
1,151,시청(1),5391578,25465,782060,640734,791551,815888,824692,754209,782444,,
1,152,종각,9300178,43785,1406723,1169723,1363922,1349279,1384409,1251023,1375099,,
1,153,종로3가(1),7386232,34881,1098796,935466,1085127,1053355,1115802,1024958,1072728,,
1,154,종로5가,5757888,27356,850612,725584,864901,849988,872246,788147,806410,,
1,155,동대문(1),3207042,15246,445149,405699,485492,473944,492920,456262,447576,,
1,156,신설동(1),3435638,16220,490338,418572,515402,510521,521571,479401,499833,,
1,157,제기동,4364425,20705,670993,522887,640594,645655,654171,613337,616788,,
1,158,청량리,5477924,26106,818464,698002,831547,800161,819413,757575,752762,,
1,159,동묘앞(1),2399313,11525,324614,312833,373057,352238,379263,344322,312986,,
2,201,시청(2),5380180,25189,770682,631024,777036,818603,810947,750949,820939,,
2,202,을지로입구,10619289,49897,1539251,1290447,1561144,1567385,1584638,1488561,1587863,,
2,203,을지로3가(2),4841145,22661,703150,575592,698998,712752,730446,680760,739447,,
2,204,을지로4가(2),2590062,12142,379456,310225,378333,374437,389267,365989,392355,,
2,205,동대문역사문화공원(2),4132956,19535,554950,499173,630458,604373,655672,591136,597194,,
2,206,신당(2),3215696,15181,458567,392792,481921,476582,486799,451047,467988,,
2,207,상왕십리,3087503,14523,442889,370978,454201,456933,469464,434124,458914,,
2,208,왕십리(2),4263839,20186,591696,508432,653760,632301,667878,599644,610128,,
2,209,한양대,2313235,11256,251026,196814,405651,421579,418920,343348,275897,,
2,210,뚝섬,3959812,18531,541752,454130,562040,593167,632372,570627,605724,,
2,211,성수,6109823,28637,884980,730821,887593,919072,917583,843305,926469,,
2,212,건대입구(2),9514325,45070,1338898,1184206,1432861,1384793,1488476,1328426,1356665,,
2,213,구의,5193739,24468,754462,636515,764033,769023,783879,720775,765052,,
2,214,강변,9677158,45817,1381482,1272461,1423609,1390115,1475297,1349900,1384294,,
2,215,잠실나루,3492835,16472,515661,426406,493323,530574,536153,479297,511421,,
2,216,잠실(2),18414998,86880,2631892,2360985,2606470,2843651,2778878,2503373,2689749,,
2,217,잠실새내,5334070,25153,770963,652234,785780,786262,818737,738755,781339,,
2,218,종합운동장(2),2832106,13208,303548,251553,430053,430166,531505,443864,441417,,
2,219,삼성,12634368,58714,1841841,1506688,1801942,1840934,1919317,1716477,2007169,,
2,220,선릉,11542495,53938,1748632,1382142,1650993,1706940,1700297,1573741,1779750,,
2,221,역삼,10050942,46947,1555262,1224611,1451275,1483998,1446465,1335824,1553507,,
2,222,강남,21555111,100452,3345577,2742288,3091190,3006328,3092811,2903682,3373235,,
2,223,교대(2),7674816,35992,1118951,911441,1129588,1144097,1151372,1059132,1160235,,
2,224,서초,4864652,22873,698293,573775,724414,726712,727352,689549,724557,,
2,225,방배,4199298,20130,568924,472899,669259,677979,668960,585565,555712,,
2,226,사당(2),9382933,44277,1344935,1132087,1397523,1386395,1418602,1334584,1368807,,
2,227,낙성대,6414492,30268,916699,773525,958980,952087,979440,897705,936056,,
2,228,서울대입구,11425928,53861,1642694,1381037,1717683,1687167,1737798,1582489,1677060,,
2,229,봉천,5336604,25065,764615,642433,782329,788192,800215,758893,799927,,
2,230,신림,15074433,71109,2183181,1870094,2227615,2211123,2268565,2110152,2203703,,
2,231,신대방,6195258,29191,879000,755660,907261,921224,943085,877375,911653,,
2,232,구로디지털단지,13454549,63237,1976838,1652037,1962454,1988523,2009639,1856343,2008715,,
2,233,대림(2),6289613,29688,887881,768698,932369,933468,955493,895547,916157,,
2,234,신도림,12563769,59370,1826235,1544783,1872305,1847360,1890444,1764765,1817877,,
2,235,문래,4243199,19900,622451,516269,617279,629175,631141,585607,641277,,
2,236,영등포구청(2),4680048,21997,681839,565651,686548,700213,703365,643880,698552,,
2,237,당산,4771335,22465,665599,561317,699969,726235,737307,675729,705179,,
2,238,합정(2),7173859,33774,1040622,886426,1053366,1041225,1080851,1010526,1060843,,
2,239,홍대입구,17185493,81294,2471368,2240204,2592296,2412089,2605938,2392314,2471284,,
2,240,신촌,10112215,47779,1443129,1243702,1567844,1458918,1547948,1386547,1464127,,
2,241,이대,4226432,20219,535492,464838,710504,672973,691390,584484,566751,,
2,242,아현,2318000,10941,317459,269704,348858,352461,362844,329011,337663,,
2,243,충정로(2),2329101,10974,337662,281293,343425,349683,349911,324404,342723,,
2,244,용답,618894,2929,84623,70893,95914,93727,96792,88143,88802,,
2,245,신답,353338,1664,50416,42169,51800,52607,53962,50162,52222,,
2,246,신설동(2),973537,4636,143412,124861,153005,140912,142628,134386,134333,,
2,247,도림천,257637,1202,35978,30257,38642,40181,37757,34732,40090,,
2,248,양천구청,1548469,7308,213310,183937,228349,236511,241306,219355,225701,,
2,249,신정네거리,2140473,10080,295178,256234,313207,323243,333167,303509,315935,,
2,250,용두,519428,2445,75911,63594,77048,75689,77165,73057,76964,,
3,309,지축,272752,1274,34672,30149,38643,41552,44375,41242,42119,,
3,310,구파발,4611418,21587,622763,540015,658003,689435,728056,668937,704209,,
3,311,연신내(3),9007543,42493,1283258,1108398,1330134,1326187,1374439,1268889,1316238,,
3,312,불광(3),4063153,19189,574941,498682,607587,602253,619243,570421,590026,,
3,313,녹번,2998841,14118,409695,353308,444742,451345,468893,427433,443425,,
3,314,홍제,4182820,19834,580317,500647,632232,635986,652986,587779,592873,,
3,315,무악재,877828,4125,121412,104830,129300,132379,134561,124088,131258,,
3,316,독립문,1858480,8822,240678,218157,298436,280189,297309,261942,261769,,
3,317,경복궁,5342499,25432,727530,617401,790767,833723,884867,748974,739237,,
3,318,안국,5189436,24527,699233,606154,774006,814201,824422,721459,749961,,
3,319,종로3가(3),2374367,11186,354697,298376,344919,347733,353719,325227,349696,,
3,320,을지로3가(3),2306352,10789,332828,272293,336046,341239,349128,321364,353454,,
3,322,동대입구,2457682,11806,311452,261131,384812,418713,414388,346419,320767,,
3,323,약수(3),3094103,14589,442136,377189,458563,460518,470268,431986,453443,,
3,324,금호,1872956,8831,267597,229626,275143,278527,285192,262407,274464,,
3,325,옥수,2161196,10183,304022,261955,316822,320086,332380,307872,318059,,
3,326,압구정,7101692,33333,1053281,877230,1039309,1029884,1040844,992813,1068331,,
3,327,신사,7032819,33051,1048690,883553,1022327,1004214,1049303,974225,1050507,,
3,328,잠원,1386174,6523,193976,164080,201544,208415,216421,196297,205441,,
3,329,고속터미널(3),13080467,61889,1868811,1755266,1932968,1818701,1991294,1834931,1878496,,
3,330,교대(3),3142556,14749,451444,366415,466629,475597,475133,434276,473062,,
3,331,남부터미널,7422349,35108,1095462,960710,1117309,1071431,1097310,1012367,1067760,,
3,332,양재,8559473,40423,1255565,1024737,1271441,1301927,1287254,1175715,1242834,,
3,333,매봉,2425661,11392,354963,288435,351853,368721,363643,334381,363665,,
3,334,도곡,1228483,5807,176093,144561,181139,191098,188652,169600,177340,,
3,335,대치,2690277,12621,394196,334547,398294,383063,403653,370629,405895,,
3,336,학여울,599782,2843,78412,61986,95428,103388,94634,80781,85153,,
3,337,대청,2182007,10221,300273,256710,322654,331117,332824,306348,332081,,
3,338,일원,2095326,9829,296159,245388,303768,318240,321954,293543,316274,,
3,339,수서,3982551,18784,571557,487944,586843,591594,602624,559379,582610,,
3,340,가락시장(3),2124139,10035,314875,259687,311281,317574,318676,294207,307839,,
3,341,경찰병원,1641262,7727,244590,200443,240081,242882,244871,225736,242659,,
3,342,오금(3),1436058,6778,209122,173453,213059,216430,216353,198341,209300,,
4,409,당고개,2866139,13503,393449,345278,423125,425216,446526,410478,422067,,
4,410,상계,4520336,21345,639608,550458,672868,674243,692965,633311,656883,,
4,411,노원(4),4769480,22514,679368,600497,702191,691614,732396,668886,694528,,
4,412,창동,6243195,29459,886306,762711,915859,921853,961496,883779,911191,,
4,413,쌍문,7015956,33148,1007984,866769,1039186,1037304,1068539,979996,1016178,,
4,414,수유,8173728,38647,1163237,1008590,1216217,1210457,1249218,1147329,1178680,,
4,415,미아,3670058,17407,508326,441222,551164,557043,572002,520945,519356,,
4,416,미아사거리,6440496,30348,897433,781207,945307,956628,997659,914707,947555,,
4,417,길음,5007220,23798,675557,582225,773381,775762,797194,703292,699809,,
4,418,성신여대입구,5232941,24876,706498,621746,810028,791012,833898,739314,730445,,
4,419,한성대입구,3501755,16711,455325,394156,543868,550893,581615,498889,477009,,
4,420,혜화,8788567,41537,1271187,1061292,1304701,1267549,1374961,1238488,1270389,,
4,421,동대문(4),5335620,25151,744939,636318,801359,784122,834260,751358,783264,,
4,422,동대문역사문화공원(4),4874714,23005,673520,599866,738043,707568,755535,689294,710888,,
4,423,충무로(4),6653213,31604,913851,763458,1024908,1053668,1038934,925428,932966,,
4,424,명동,8111628,38770,1093071,993507,1293901,1257147,1225300,1154532,1094170,,
4,425,회현,6539154,30909,905784,765236,987300,995541,1015713,925035,944545,,
4,426,서울역(4),2872607,13548,412948,348765,430118,434071,430390,395835,420480,,
4,427,숙대입구,3491909,16648,469041,389742,549039,548645,556795,499939,478708,,
4,428,삼각지(4),1050815,4956,154066,127902,154430,157187,156474,147033,153723,,
4,429,신용산,3477768,16309,503796,435087,500197,503029,526953,482926,525780,,
4,430,이촌,1998468,9427,290619,256386,271629,284949,319345,283370,292170,,
4,431,동작,663384,3160,80380,70956,88256,108763,113550,110108,91371,,
4,432,이수(총신대입구),4621696,21803,666423,565765,683825,686006,698548,645701,675428,,
4,433,사당(4),6326349,29908,899809,764812,948428,941611,967352,891321,913016,,
4,434,남태령,350994,1675,48863,42400,54380,53837,55092,48552,47870,,
5,2511,방화,1585287,7461,222526,191185,234126,235595,243015,223910,234930,,
5,2512,개화산,1298021,6119,186684,157714,190273,193191,199015,180649,190495,,
5,2513,김포공항(5),1747770,8206,249697,226973,251986,246127,263186,247395,262406,,
5,2514,송정,1981352,9377,278604,240875,296086,298984,304822,277887,284094,,
5,2515,마곡,1409221,6621,205324,167019,204451,209384,217556,194735,210752,,
5,2516,발산,3878984,18249,524220,459802,576714,587803,598777,555689,575979,,
5,2517,우장산,3358691,15848,470680,401868,499208,507100,519207,470405,490223,,
5,2518,화곡,6457651,30437,914590,785378,949623,965606,988625,905318,948511,,
5,2519,까치산(5),6487831,30623,930369,797567,953785,968302,986074,906580,945154,,
5,2520,신정,2898606,13742,436728,366677,442690,421131,429909,390247,411224,,
5,2521,목동,3962036,18675,559335,474004,584948,601035,607752,553133,581829,,
5,2522,오목교,5140562,24230,755560,642295,750313,758173,769987,709229,755005,,
5,2523,양평(5),1408469,6618,206797,170446,205555,211897,210695,192440,210639,,
5,2524,영등포구청(5),803265,3779,116648,96860,116536,121679,121638,110606,119298,,
5,2525,영등포시장,2124372,10016,304970,259190,313800,311970,321997,300891,311554,,
5,2526,신길(5),701714,3295,101803,83441,101178,105203,106375,98425,105289,,
5,2527,여의도(5),5006866,23477,737552,588350,707271,798115,747281,670820,757477,,
5,2528,여의나루,2580064,12364,218852,202321,295685,591144,557770,372116,342176,,
5,2529,마포,2992195,14069,439984,362122,432583,452452,450076,409251,445727,,
5,2530,공덕(5),2977922,13982,427139,351803,430701,457420,452638,410992,447229,,
5,2531,애오개,1547809,7272,220943,184593,227126,234152,234336,215125,231534,,
5,2532,충정로(5),953879,4491,134192,110999,141718,147516,148010,130396,141048,,
5,2533,서대문,3773041,17774,524019,432308,561575,585690,587199,526349,555901,,
5,2534,광화문,7424714,34990,1113521,912807,1090251,1108414,1115054,993074,1091593,,
5,2535,종로3가(5),3602585,17099,566708,483402,527398,503623,530985,482713,507756,,
5,2536,을지로4가(5),1072847,5019,160296,128136,152176,156367,156624,154882,164366,,
5,2537,동대문역사문화공원(5),588541,2758,87171,70101,87855,88675,86511,78891,89337,,
5,2538,청구(5),894677,4215,126217,107349,132458,134801,137646,124425,131781,,
5,2539,신금호,1405359,6630,196663,168283,208434,210275,217449,198863,205392,,
5,2540,행당,1844286,8692,263879,223859,272003,275679,280059,257824,270983,,
5,2541,왕십리(5),1106227,5222,162841,139209,164142,161091,165263,152586,161095,,
5,2542,마장,1347558,6402,194501,163965,201586,206823,206511,185337,188835,,
5,2543,답십리,3657758,17254,525316,446350,542264,543946,554219,510792,534871,,
5,2544,장한평,3993830,18781,579147,487735,586101,592371,602282,551703,594491,,
5,2545,군자(5),2412075,11374,341651,291805,358309,360547,366920,339426,353417,,
5,2546,아차산,3273366,15519,444601,387764,486061,501506,524931,464042,464461,,
5,2547,광나루,3097262,14667,437480,362516,463547,471616,481699,437881,442523,,
5,2548,천호(5),4328429,20419,626706,539914,640872,622833,655528,609972,632604,,
5,2549,강동,4321038,20257,612127,519771,633490,638637,654709,607819,654485,,
5,2550,길동,1612102,7592,233409,198286,237948,235476,244316,224632,238035,,
5,2551,굽은다리,2124399,10000,301289,257207,310846,313734,326675,300263,314385,,
5,2552,명일,1757249,8272,250022,210627,262621,260787,269087,244165,259940,,
5,2553,고덕,2086923,9816,288951,245714,307516,314364,325280,294791,310307,,
5,2554,상일동,2750255,12977,389466,323888,405030,416074,428371,386037,401389,,
5,2555,둔촌동,1906523,8998,272227,228176,284560,280795,291506,271425,277834,,
5,2556,올림픽공원(5),1103620,5217,143747,115573,158319,169959,183355,173324,159343,,
